x,happy,neutral,sad
1,2,3,4
1,0,0,0
2,1,0,0
3,2,0,0
4,3,0,0
5,4,0,0
6,5,0,0
7,5,0,0
8,5,0,0
9,0,1,0
10,1,0,0
11,2,0,0
12,0,1,0
13,0,2,0
14,0,2,0
15,0,2,0
16,0,2,0
17,0,2,0
18,0,2,0
19,0,2,0
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,0,3,0
25,0,4,0
26,0,5,0
27,0,5,0
28,0,5,0
29,0,5,0
30,0,5,0
31,0,5,0
32,0,5,0
33,0,5,0
34,0,5,0
35,0,5,0
36,0,5,0
37,0,5,0
38,0,5,0
39,0,5,0
40,0,5,0
41,0,5,0
42,0,5,0
43,0,5,0
44,0,5,0
45,0,5,0
46,0,5,0
47,0,5,0
48,0,5,0
49,0,5,0
50,0,5,0
51,0,5,0
52,0,5,0
53,0,5,0
54,0,5,0
55,0,5,0
56,0,5,0
57,0,5,0
58,0,5,0
59,0,5,0
60,0,5,0
61,0,5,0
62,0,5,0
63,0,5,0
64,0,5,0
65,0,5,0
66,0,5,0
67,0,5,0
68,0,5,0
69,0,5,0
70,0,5,0
71,0,5,0
72,0,5,0
73,0,5,0
74,1,0,0
75,0,1,0
76,1,0,0
77,1,0,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,2,0
83,0,2,0
84,0,0,1
85,0,1,0
86,0,2,0
87,0,3,0
88,0,3,0
89,0,3,0
90,0,3,0
91,0,3,0
92,0,3,0
93,0,3,0
94,0,3,0
95,0,4,0
96,0,4,0
97,0,4,0
98,0,4,0
99,0,5,0
100,0,5,0
101,0,5,0
102,0,5,0
103,0,5,0
104,0,5,0
105,0,5,0
106,0,5,0
107,0,5,0
108,0,5,0
109,0,5,0
110,0,0,1
111,0,0,2
112,0,0,3
113,0,0,4
114,0,0,5
115,0,0,5
116,0,0,5
117,0,1,0
118,0,2,0
119,0,3,0
120,0,0,1
121,0,1,0
122,0,1,0
123,1,0,0
124,1,0,0
125,2,0,0
126,2,0,0
127,2,0,0
128,0,1,0
129,0,2,0
130,0,3,0
131,0,4,0
132,0,5,0
133,0,5,0
134,1,0,0
135,2,0,0
136,0,1,0
137,0,1,0
138,0,2,0
139,0,2,0
140,0,2,0
141,0,2,0
142,0,3,0
143,0,3,0
144,0,4,0
145,0,4,0
146,0,5,0
147,1,0,0
148,0,1,0
149,0,2,0
150,0,3,0
151,0,4,0
152,0,5,0
153,1,0,0
154,0,1,0
155,0,2,0
156,1,0,0
157,2,0,0
158,0,1,0
159,1,0,0
160,1,0,0
161,2,0,0
162,2,0,0
163,2,0,0
164,0,0,1
165,0,0,2
166,0,0,2
167,0,0,2
168,0,0,2
169,0,0,2
170,0,1,0
171,0,1,0
172,1,0,0
173,1,0,0
174,1,0,0
175,1,0,0
176,2,0,0
177,2,0,0
178,3,0,0
179,3,0,0
180,3,0,0
181,3,0,0
182,3,0,0
183,3,0,0
184,3,0,0
185,0,1,0
186,0,1,0
187,0,1,0
188,0,1,0
189,0,1,0
190,0,2,0
191,0,2,0
192,0,2,0
193,0,2,0
194,0,2,0
195,1,0,0
196,2,0,0
197,0,1,0
198,0,1,0
199,0,1,0
200,0,2,0
201,0,2,0
202,0,2,0
203,1,0,0
204,2,0,0
205,2,0,0
206,2,0,0
207,2,0,0
208,2,0,0
209,2,0,0
210,3,0,0
211,4,0,0
212,5,0,0
213,5,0,0
214,5,0,0
215,5,0,0
216,5,0,0
217,5,0,0
218,5,0,0
219,5,0,0
220,5,0,0
221,0,1,0
222,0,1,0
223,0,1,0
224,0,1,0
225,0,1,0
226,0,1,0
227,0,1,0
228,0,1,0
229,0,1,0
230,0,1,0
231,0,1,0
232,0,1,0
233,0,1,0
234,0,1,0
235,0,2,0
236,0,2,0
237,0,0,1
238,0,0,1
239,0,0,1
240,0,0,1
